accountId,summonerName,tier,rank
-ST_l8uUEXh9xrwkVF57P4ngmX_hCFSFDeJLDZh7MN_X,꿀주먹 바이,DIAMOND,IV
KkmRyi1nfzSNLB1lbO24sTmGO3QBaZfmUWXsPN1OSrQL,간짜장간짬뽕,DIAMOND,IV
IPKX-As09AK3MpFjoOzNLFqPZRqywBPGKz0GSOZo7kPJ,오정팔,DIAMOND,IV
BOYR-tLz0U6DplqTWA1M_evz4nlk8PcvIvOG3tkKCCtK,이녀써억,DIAMOND,IV
XfvOsIsII6toxVVjaJAZ1qX5GTF7e9RgEQKlm3w89vB9,밀짚모자해적루피,DIAMOND,IV
RMrUA-_lQU63jIzTNb0gcOINjj9YivjIKCHi4VUJPozi,알바전프로,DIAMOND,IV
5W6evKvKIKc_OzFO36xPGWYYK6mZ6OkxC3uZfvQp5ZVK,눈물이많음,DIAMOND,IV
4_eg0mGywSTBcbM3kratqra3VfdCTHyAo95n6NNM2BsJ,느껴지시나요,DIAMOND,IV
8R5FrSXTA7Xw_YlNfWVh2ikCTLavPsOhC06QAVYnJli1,적이랑싸워제발,DIAMOND,IV
mqOXm00Nh3WL8Eqq6rAKST9v3viaga-yaiszhs2-Axsf,강출두,DIAMOND,IV
bZ_KD-7UZAB-2XI7oP8zz-wgtrb17UqCmuqUwSnfVJEC,꽃 지 연,DIAMOND,IV
eRYqz9saR7nTqsrZtfOTmZCRFRw9TqfhQvrIfrjDM5J4,알아서하는사람,DIAMOND,IV
n4kLvjIaEcYx2nUkVzLkI-I_v2lXvHdE_ybcxRBXsl-Y,맹수 김재철,DIAMOND,IV
nEsbai68CPfyCTUbWJEQz_Q5ec1yNfRJdvIj7yl4Av_a,ASJASJ,DIAMOND,IV
g91klFx6Sn4CohRrFTg_f8AsN2sYZV_HmHF3q12jjTWu,서폿은사람이다,DIAMOND,IV
lyvTj78knw8AWPjGYfj5qnLzv0lntkKBVtJWX_e7t4YG,holymolyshiiit,DIAMOND,IV
HNdV0EuEDBicY_8rueqmWDADggTq2n_8is9fCwtcBoKb,멘탈왕브레이킹,DIAMOND,IV
AnRDv7k67EnlSC8UwECRG7llrEDe-uXFW9MtQef4bWvp,흑구공,DIAMOND,IV
A9j8xdaVUQnh9UaJuv3KRRqh5r2I5RbqXT1CWnuFzAIb,문어재앙 문재앙,DIAMOND,IV
vpMN2OMvbgdBIGi8ef36n7r3MzZxmT4T-2jxQqY4egzx,지환아 기다려,DIAMOND,IV
KTnW1DupmbaEDpfH1Wa5uM9KtQ0GUYDM9PHfcWu3YmjS,기다려 귀찮아,DIAMOND,IV
H1cboTCE-RUzaYEK4oHe3S4iaTZPZ_Zdngbo3AdYoQTU,너무너무착한사람,DIAMOND,IV
EuCX6UlTX3EYUX-ZR7Yz62ulZst8VFNGvbv7Gnxh74X7,젠틀멘,DIAMOND,IV
oqwr5RJcnTDGmCVEXh1ZE48gjRpu-PK9Ao8cA0qcJAwI,Ace티모,DIAMOND,IV
BALMQ1Wd2ocqtOTEosdebrEkEVpE4rDFsPifI3BwQ3Uv,길35,DIAMOND,IV
6EDHVoB6cYcWpsmw1ked6s-SR9fUa2hX_do2mGaQyQgz,KR 코그모,DIAMOND,IV
9Gh9FobclseA4kFNGVyGF94o9zx_SeZRhzmfKny8vehW,평화수,DIAMOND,IV
1FwKTMsPxBsXsRNfL_upF5SL42YvrBNmyCWJ8T991qvs,프리마테,DIAMOND,IV
rqvQNkQfvHjxcOHZSognPGk_pZvAPe0ZL_JY_2hecd2k,Hoxy 화나셨나요,DIAMOND,IV
n_OLv93Yca4S5MaDSaFlWj8W0dVUFynRT3df0XagZhpE,문무를 갖춘 사람,DIAMOND,IV
8lwUGPyIMUzzmyL5tbMzzRIJeIQ4zWh8sAgiBu649ptK,GgorillA,DIAMOND,IV
8tYu2oDnK63CuRKtxGNdrPsZVKWmz7YnNYflsCag1Zu8,챌린저 자크,DIAMOND,IV
NFpQ-ewKgmUYWoQLafK9xXGchWt4w4o3NgCXhtvZtXwC,민간인 이동규,DIAMOND,IV
f0p_lbxmla6t3ZXBjV4xgFOOW8acpvMrznIo4lO0qmQR,OMG Yi,DIAMOND,IV
8J3GQtNi4RhKcG1DNgPrPVD94B2foR4PsBUBYPhD85xd,괴물쥐 구조대,DIAMOND,IV
U-QZZUwsaRonN5X79XjITwgrdYHarnEhOJkHoDekluhm,다섯가지자랑말,DIAMOND,IV
_Oglzq_37wUft1AD-4H-jW_LZ4CyR-tDXTBVF4W99MI3,2021년10월6일9시,DIAMOND,IV
TmSFydE4yn9lNaDtXiZMsOQhw2kgfzvUGel4EfnGC7WG,애꾸눈사람,DIAMOND,IV
U4BjsKZLzSxWthTagDnAiyyoJg8JeF5GqWbg6821bmL8,IOHOl,DIAMOND,IV
dtz3xzExlmZn0gErQgn4Im8Sf7ePKVeMKiifRXee5Mvn,땡스기빙데이,DIAMOND,IV
OSyzysS6F9LwdMqU1G91xoV1RmYit8l8QTkBQgFGMUvc,도구는 기도중,DIAMOND,IV
-eCT2VtP1pCJdk-6cGDRFCYw_xHJCdy5FViiaFH82I0N,iF 잠만보,DIAMOND,IV
ZJYwSKzkffKTxaL9Kh7pfgvLIFnFlC2uHj54DtGAECp8,동그란잠만보,DIAMOND,IV
om5JseM9Pj1hiz8jwRLEhI3o00vSTYVzgI86Epv1P3Ka,fcS Leopard,DIAMOND,IV
cnbLQNIYVvNqK_LImu9kSOSp_2dMXbX63tVc_otkIQV3,r2a1,DIAMOND,IV
PWurq1D8PBpRO3rp50YZ423wR1IT5jEJB-UmH0FGlh6G,김석형,DIAMOND,IV
t7o1sOFL_LocwPFXeXcfOKbsPkGbwv_dAlRSLOBllPRj,정글은 역시 뽀삐,DIAMOND,IV
9LNGV6V_BhaExDW1UimLwsKteSICVOyooJZh17RlFSfO,돌아오지마 Heize,DIAMOND,IV
QVWEITNMkqSvWCEho8K44PdzrvqQQPrMJGhW1KP3y2XS,아무렇게나하자,DIAMOND,IV
JkYlHXszklqyUYdFUXztMg7e7NsPwqXn3stEPDe5Nk4Y,에이월,DIAMOND,IV
c3sdOi382CfhOLktiymkMD2MVa6GUqphS5IQaa7xUPRP,신나는 노래,DIAMOND,IV
chqeLxzcBv4gr52y_viAODaLl-TP63SuiJ7abPps9OZk,호이싯,DIAMOND,IV
2n_z_dget0Pvyiw35TCEKHE96EsxOcKPKbc20PbwmLlK,DRX Hyeong,DIAMOND,IV
0BkT0tDoTCPpKwACpbZmNZ9qfh56SvMUbEe1MQRbN6hk,그랜드듀크,DIAMOND,IV
1vtaBuwSlrms-uC38BCn6_sCWDskarFi7G_ZSUycQZCD,망 량 겁 조,DIAMOND,IV
fAx_JZW4FEOlykou9PAglt0dsy7T969P0JwakoHxcpKF,성렐리아,DIAMOND,IV
LzNfxNTJOr80aCl-23-4lzs3_QVRNwCiIoC4oI9anfeS,대구학생님,DIAMOND,IV
Cp1i76Y9y_dxC8Aco6hHpMo7qAGwPYPuATB9IhMW0Owh,먼저친놈이싸움을,DIAMOND,IV
GfEoBtxYfbXWo6f3IWZNUFxWARZL7PgHTwml5jFWto9I,178 75,DIAMOND,IV
82D8D-nKbR4whOHCoOxma0VatvrBBglElCPwwjdXT28g,피식목마,DIAMOND,IV
mTNZYZfjtDVsVi66OkmF-8LgHaFLYF9IyBoIV7M9B4N8,행복할수있을까,DIAMOND,IV
jIHUebzodvkM-gfiaBLsyYrxD-VjwaBp9THLIgldTaUU,입자속옷야쓰,DIAMOND,IV
JYCFvfuFne_TwaGRPDPQoApb6QXc2R5msrh08aPYa0Nk,연패하기싫어,DIAMOND,IV
_m64e3lT_ydj1vosmVtSDpzSO0BWwJif97N6XA9I6rwY,닦닦닦닦닦닦닦이,DIAMOND,IV
wmE2gvqor2FvHIq8m2cRTT1lor9bBjQqOEUqO1hUwGzA,김을지,DIAMOND,IV
BzTNofMj6afvwinfNekZEkCIW36TvYmDpmXo_0zZXcNT,ppodole,DIAMOND,IV
Qq7I3gBSk_hHQFQ-Y5FibmA0om6FZQXD0WeG7MlhKo9Z,나는실수너는실력,DIAMOND,IV
773j8MtMSGEbgDfyVyNl31TReT5DOpmi6UjnHdFx6iHH,바텀 노플인데,DIAMOND,IV
gRxApRCvKXSyVMQZj9wJDECt8-lLkZblrd--yhZYfbcp,소환사서먼마스터,DIAMOND,IV
9yJX2hSWSPM5jIr7LHImNbt5ahQCKnEieLlUdZ9v4pGx,bgh5620,DIAMOND,IV
KbUrLjl_pZqrtv9uxgMB4UqrZwuOwASFnNj43VYx9HiD,왕학체,DIAMOND,IV
xKQfj56_1z-tEqb8B1mTNasuZyukHs8GHRIEBrT1ecFK,최강희조,DIAMOND,IV
3IOsra4KAzevfVLXlgj4SUOnKBmjbSuOHJzulTA3-5rg,화이팅 우리팀,DIAMOND,IV
yn4UY42zfgmbJkMo2fCZH4rMPvBhZbhV0ilZfdz7dAG9,빠성이얏,DIAMOND,IV
l56ECOJ5HBuDCbNaHdqRmuPAoOlxpB8FQd7JmfkuSTTh,도시과,DIAMOND,IV
Nsms8cYEi_ILsx9mBA474mhnR80nfoPD4T7N5CemnSgM,로택기,DIAMOND,IV
1ls_F5lDftbUWwn4n8adg8hatj61la-1voolqN-SkVd0,진 박,DIAMOND,IV
5gFZGXF26e-lcnH1WdEnIKJB_p9yxIV8mVLeXqEbulSh,Hustlin,DIAMOND,IV
I2V31ysBoz56T1CbVKz0K2_ITUP6YoA07XSqgI5KY78P,전뚜밍,DIAMOND,IV
fK-GDaluDIBEFsM1ypPy2KUE3C3xaYuoV5NoRs_87xxt,피들 그 자체,DIAMOND,IV
KB4bgd6lW38KjiG8gKzPYj8Br1mz4DgSSN5pzzAWDocW,멍멍 o3o,DIAMOND,IV
Z1iJG7xueiQOko99CXNvEQ8FI7YNX0LwLDxQ2iZHe4cN,벌레박멸성인현자,DIAMOND,IV
CDrcNqkU59bqJh6F1cxcuIKLkWGgHliQ2rwhwdFeNmvx,제케르,DIAMOND,IV
WzoXtq6YsyHstIyLkHKvLfDRp79e54UdKLfuPSRhwm7M,초코렛맛제티,DIAMOND,IV
tade_p4GLLNTEl1gC4gBsMWexomxhtwxY2-Td76lgjWJ,Lypto,DIAMOND,IV
7_OZXpS1G4Tlc0u0TsNuJ6ZuSKTW5fXzyj5A8SFEsCB0,예티늪에빠진사람,DIAMOND,IV
